song_title,artist
Whitfield,Atomship
Stairway To Cleveland,Jefferson Starship
It's A Man's World ,MC5
Fool,Cartel
Skvoz' Tuman Vekov,Arkona
Mi Musica Es Para Ti,Johnny Pacheco
Down On The Street ,The Stooges
Palm Springs Jump,Buffalo Nickel Band
In the Underworld,Skyforger
These Words,Natasha Bedingfield
Get that Girl ,Mother Superior
Dos Arbolitos ,Gloria Lasso
Stop The World,Extreme
Sympozium,Dimmu Borgir
Away From The Sky,Rickie Lee Jones
Dhol Ton Bina,Malkit Singh
Don't Give Up,Portable
Tell Him,The Exciters
Ex Nihilo,Becoming The Archetype
Retrato Em Branco E Preto,Brasilian Tropical Orchestra
Everytime It Rains,Peter Gallagher
Watcha Gon Do?  ,Terror Squad featuring Big Pun
Some Enchanted Evening,Jay & The Americans
Celebration ,Raze
No City - Instrumental,Aesop Rock
Voy A Olvidarme,Jay Pérez
The Burden ,Dropkick Murphys
From The Pain,Adam Richman
It's All In How You Look At It,Big Jay Oakerson
Dub In Bed,Alternative TV
Do That There ,Lyrics Born
Jingle Bells,Maddox Brothers and Rose
All Night Long,Junior Kimbrough
Believe In Me ,ATB
Dead Hackers,Marco Beltrami
Contrary Mary  ,Kix
Miss Clara/Azusa Sue,Bobbie Gentry
Eruption ,Van Halen
Comfort Zone,Everyday Sunday
Miyela Afrika,Vusi Mahlasela
Better Ways,Tam Tam Go!
Traveling Fast,Pat Metheny
First Kiss,Jim Chappell
Fighters  ,Lupe Fiasco feat. Matthew Santos
18 Carat Garbage,Billie Ray Martin Feat. Ann Peebles
He'll Have To Go,Frank Ifield
Gitana,Gloria Lasso
Baby Is Blue,Chris Jagger
Breaking Down The Walls Of Heartache,Dexys Midnight Runners
Voodoo Punnany ,Joe Rogan
In The Valley Of The Moon,Jimmy Wakely
Military Man,Willie Barcena
What Should Be Done,Uriah Heep
Sister Sue,Commander Cody & His Lost Planet Airmen
Unsaveable ,Faith Hill
Mathilda,The Fabulous Thunderbirds
I Am A Pilgrim,Michael Bloomfield
Ine Mono Ekloges,Imiskoubria
DJ's & MC's,Rodney O_ Joe Cooley
Let Men Burn Stars,M83
Das Guru,Jazzy B
All In,Joe McBride
Te Necesito,David Summers
Monopoly On Sorrow,Suicidal Tendencies
Twelve Ounce ,Home Town Hero
Communication,Mario Piu
Gia,Despina Vandi
Mr. Marshall,Johnny Osbourne
Feel Like Blowing My Horn,Robert Lockwood_ Jr.
We Who Finish Last,Shai Hulud
The First Cut Is The Deepest,Little Angels
Jones From Indiana,Daughters
Simon,Lifehouse
LFO [Original by LFO],Luke Vibert
Innsmouth Jewelry,Misty Roses
Where Have All The Clowns Gone,Michael Stanley Band
La Pierrade,Bénabar
People with honour,Wilks
Your Heart Can Sing,Bruce BecVar
Don't Want To Know ,Bryan Ferry
so long_ astoria,The Ataris
Famous Girl,Chris Brown
The Greeting Song ,Red Hot Chili Peppers
Love Theme From Night Of Dark Shadows ,Dark Shadows
Trinity Definitely ,Don Davis
Retarded Army,Rocky Whatule
Careless Whisper,Kenny G Featuring Brian McKnight
Suicide,Redman
To Your Door,Maria Forde
Here's to the Lonely,Dr. Elmo
You Gotta Be Movin',Corona
Lovin' Cup ,The Paul Butterfield Blues Band
Give The People,EPMD
Planxty Morgan Magan/ The Morning Dew,The Irish Rovers
Mamma pettenami,Chorus Line
Tall Cool One,The Sonics
Call On Me,Bad Company
Come Around ,Sister Hazel
Black & White,Vanessa Daou
The Real Trick,Slackbaba
Red Umbrella ,Faith Hill
Grim Prospects ,Schizoid
Surrender To Me,Lara Fabian
Yesterday,Brasilian Tropical Orchestra
Katherine,Steve Riley & The Mamou Playboys
Walpurgisnacht,K.I.Z.
The Snows,Pentangle
3,DJ X-Change
Grits Ain't Groceries,Rita Chiarelli
Climate Control,Uphill Battle
Love Letter,Gerald Veasley
Gotta Pay ,Wordsworth
Notify The President Feat. Celestial Souljahz - Shabazz The Disciple & Freestyle,Massive Töne
Nação,Clara Nunes
Seven Drunken Nights,Ronnie Drew
Contagious,Y&T
Straight Coats,Kokane
Talk,Bert Kaempfert And His Orchestra
Ai Bu Hui Yi Zhi Deng Ni,Ken Chu
Meathead  ,Story Of The Year
Kandiyohi,The Honeydogs
They Reminisce Over You ,Pete Rock & C.L. Smooth
Der Kleine Idiot,Marco Rima
Why,Bescenta
19th Nervous Breakdown,Jason & The Scorchers
Sexy Ladies,Justin Timberlake
Packed Up And Took My Mind,Little Milton
Metamorphosis,Sonny Simmons
Minuit sur terre,Alain-François
Balon Combo,Mau Mau
Dreaming,Movado
Betty Et Tommy ,Cali
Why You Wanna Get Funky...,Del The Funky Homosapien
Moonlight Boy,Jim Chappell
Cold_ Cold Heart,Charlie Rich
Nothin' On You [feat. Bruno Mars] ,B.o.B
Two Note Swivel ,Talking Heads
You Are,Pearl Jam
Tócale Las Palmas,Peret
Stand Firm ,Peter Tosh
Äi Jo,ÄI-TIEM
Fotia Sta Savvatovrada ,Angela Dimitriou
We Say No,The Freedom
Don Toribio,Varios Artistas de Rumba
"Step Up';""b""""Flamin' Groovies""""",
Wild Horse Road  ,John Stewart
Ohe Nene,Roy Brown
I Will ,UKW
Ouragan,Oldelaf et Monsieur D
Disco Medley ,Selena
I'll See You Sunday,Twila Paris
"Come Home With Me';""b""""Cam'Ron / Juelz Santana / Jimmy Jones""""",
Preaching Blues  ,John Hammond
Bury Your Head ,Saosin
Pianolude,Usher
The Scarifice Ceremony,Max Steiner
Último Desejo,Nana Caymmi
You'll Never Know,Mindy McCready
Amor Bonito,Pablo Montero
Punisher ,Pinch
Let Me,Casual
Rudeboy Shuffling,Dwayne_ Gyptian
Ten Cities Is Not A European Tour,Pagan Wanderer Lu
Le type d'en face,Guillaume Ledent
The Race,Bikini Machine
sample processing failed ,Aphasia
Release,Perpetual Loop
Un Cachito De Ti,Sergio Dalma
Blue Skies,Blue October
Samba De Una Nota So´,Joa~o Gilberto
Who Killed Sparky?,Sasha
Zion Chant ,Freddie McGregor
Windpower,Thomas Dolby
God You Are My God,Delirious
God Unchanging,Jaime Jamgochian
Cuerda viva,Varios
Suan Shu,Candy Lo
Avisame,Baby Rasta & Gringo
Marta ,Arthur Tracy
"Catcher In The Rye';""b""""Guns N' Roses""""",
Sk8 Tough,UK Subs
Tema De Adrian,2 Minutos
Bloodshed,Bruisers
Io non ti invidio,Fabri Fibra
Reunion,Bobbie Gentry
Love And Wealth,Charlie Louvin
Runaround ,Van Halen
Whirlpool ,Ray Barretto
Tengo Un Amor,Toby Love featuring Rakim & Ken-Y
Imperial March,The London Pops Orchestra
The Island etc.,Pagan Wanderer Lu
Temple Bells,Aeoliah
Sunday,Bebo Norman
15º Off Cool ,Bill Engvall
"Ailleurs';""b""""France D' Amour""""",
Bleeding Love,Sandi Thom
Cool Kid,Broadcast
Epiphany,Bad Religion
My FoFo  ,Fat Joe
Prefiero Decir Adios,Gisselle
Anonymous Phone Call,Bobby Vee
Looking Back,John Mayall & The Bluesbreakers
Banana Split Republic,False Prophets
Eden,Mystic Rhythms Band
When I Was Drinking,Hem
Think,The Rolling Stones
A Pretty Gal's Love,New Roanoke Jug Band
Every Time I Look At You,Kiss
Rave On ,Marshall Crenshaw
Mohawk Hunt,Kaskaad
La Mona Jacinta,María Elena Walsh
Don't Let Her Pull You Down,New Found Glory
Zindegi,Chantal Chamandy
"Then He Said_ ""Sing",Ivan Parker
Overture ,Don Francisco
Leaders Of Men,Joy Division
Le Precipice,Daara J
Ten Thousand Angels,Mindy McCready
Monkey Faced Woman,Otis Spann
Standing In The Darkness,Alias
Baby_ I'm Your Man,Kevin Max
Class Clown/Good Old Days ,Owsley
Gammer Gerten's Needle,Deep Blue Something
La Panadera,Pedro Laza Y Sus Pelayeros
Leave My Kitten Alone,Little Willie John
Strange Way To Save The World,4Him
Caught - Special Way,Freedom
That's Not the Way Love's Supposed to Be,Tora Tora
Second Chance,The Sterns
All About Our Love,Sade
This Is Not A Love Song,Public Image Ltd
Pack Your Bags ,Leana
De Tha Kano Piso,Konstantinos Galanos
I Know A Place,Joe Bonamassa
The Bells Of Rhymney,Roger McGuinn
I Got My Discharge Papers,Big Joe Turner
You are the summer,Gloria
Je Marche Seul ,Jean-Jacques Goldman
Hootchie Cootchie Man,Rocky Hill
Mind On,Ashes to Ashes
The Letter That Johnny Walker Read,Asleep At The Wheel
Dr Kaotica,Organ Donors
Long Way 2 Go [Friscia & Lamboy Club],Cassie
Just My Imagination,Cornell Campbell
Merry-Go-Round,Mötley Crüe
Sunshine Anchorman Medley,Jonathan Edwards / Will Ferrell
Lovin' You,Minnie Riperton
Young Riders,Hot Boys
I'm That Type Of Ni**a,The Pharcyde
A Dustland Fairytale,The Killers
Intro,Tha Liks
Somebody Sweet,John D. Loudermilk
Die Romantic [Live],Aiden
Why can't we live together,Sin Plomo
Daybreak,Winterlight
Crayon Sharpener,themselves
Does It Float,Dinosaur Jr.
Give U My Heart,Toni Braxton Featuring Babyface
My Way ,The Sex Pistols
Along Comes Mary,Cal Tjader
The Storm,Lloyd Spiegel
Sentimental Man,Winston Reedy
God Don't Never Change,Blind Willie Johnson
Dark End Of The Street,Diamanda Galas
"Zydeco In D-Minor';""b'Myrick """"Freeze"""" Guillory'",
The Wonderful World Of The Young,Danny Williams
The Hanged Man,Moonspell
The Forgotten Lands,David Arkenstone
One the road ,It Dies Today
Down In Dixie,Grandpa Jones
Harboring An Apparition,Mouth Of The Architect
Shattered Life,Seventh Day Slumber
Munster Song ,Mario Rosenstock
Spend the Night featuring Rock Money and Paul Law,Tech N9ne
Gutes Mädchen,Hassan Annouri
In Your Dreams,Justo Almario
I Woke Up One Morning And I Could Hardly See,Sonny Terry / Brownie McGhee
"Patience';""b""""Guns N' Roses""""",
Night Falls ,Strata
Violet Heart Box,Willie Isz
The World Is Waiting For The Sunrise,Bob Crosby
Follow The Light,Dungeon Family
Maybe You'll Love Me Too,Jazz Gillum
Let it go Interlude,PMD
The Little Stack Of Barley / Cronin's Hornpipe,Séamus Ennis
It Hurts Me Too,Jeremy Spencer
Cocoricó ,Hélio Ziskind
The Star-Spangled Banner ,Felix Slatkin/Concert Arts Symphonic Band
Sebastian,Daylight Torn
Vulture 4,DJ Slugo
Mort,Monique Morelli
Lucindy,Curt Bois
Gabriel's Oboe ,Carlos Nuñez
No Matter How She Done It,Tampa Red
Rhapsody In Blue ,Semprini
My Little Blue One,Cowboy Mouth
Break Em,Ultra X
Is This Legal,The Lord Henry
Come On Home,Michael English
Near You,Floyd Cramer
Track BALLERINA GIRL,Antonio Koudele
Diamonds From Sierra Leone,Kanye West
The Drama ,X-Ecutioners featuring Big Pun
La Bambola,Los Iracundos
On The Edge Of Forever,Mannheim Steamroller
"Brasil pandeiro';""b""""Mart'nália""""",
Alone Together ,John Wesley
Soy Un Poco De Ti - Original,Yolandita Monge
Rapaz De Bem,Sivuca
Crazy Circles,Bad Company
Hard Hitters,Dilated Peoples Featuring Black Thought
Fica ma mi,Nichols
Saca La Botella,Sonora Santanera
Papa Don't Preach,Madonna
Fortress,Tim Exile
Start!,The Jam
The Meantime,Phantom Planet
Die Meisten,Samy Deluxe
Two Elegiac Melodies Op. 34: 2. The Last Spring,Sir Neville Marriner
Are You Happy ,Drop Dead_ Gorgeous
No Coward Soldier,The Jackson Southernaires
Akhan Nay Sharab,Pardesi
Thats life,Sane Band
11th Street,Open Hand
"Tre sonetti di Petrarca: III. I' vidi in terra angelici costumi - sonnet 156"";""b""""Dennis O'Neill""""",
Too Far From The Tree,Angela Lashley
It Takes A Village  ,Tim Wilson
The Climb/Paranoia,The Pharcyde
Collide,Howie Day
Need,Tyrone Wells
Baby's Got A Habit,Joe Lynn Turner
Creep Live Version,Maximilian Hecker
Dance Of Romance,Knack
Everyday,Phil Collins
Stop!,Joe Bonamassa
Nostalgia,Emilio Tuero
Over The River,Bitty McLean
Amour noir N 7,Michèle Bernard
Dale Darrell Waltrip Richard Petty Rusty Awesome Bill Irvin Gordon Earnhardt Smith...Johnson_ Jr. ,Tim Wilson
Defend You ,Silverstein
Looking For A Kiss,Sex Pistols
Somewhere In Between,The Jackson Southernaires
No Hay Manera,El Gran Combo De Puerto Rico
Baal's Hymn,David Bowie
In My Hood ,Fabolous
St Patrick's An Dro,Carlos Nuñez
"God In My Bed';""b""""K's Choice""""",
Novakane,Black Sheep
Alma_ Corazón Y Vida,Dyango
It Could Never Be You,Bonita
Holli Holi Nach Kuriye,Malkit Singh
2 + 2 = 5,Radiohead
My Baby ,Janet Jackson Featuring Kanye West
Fear The Sea,The Gathering
Beni Aglatma,Mustafa Sandal
Life,Ill Harmonics
The Flight of the serpentarius,Bruno Sanfilippo
Another Lover,The Last Vegas
The Last Man On Earth,Schoolyard Heroes
Focus,DJ Isaac
No Such Thing As Control ,Beneath The Sky
Cajun Baby ,Commander Cody And His Lost Planet Airmen
Village Dance,Vana
Midnight Jump,Sunnyland Slim
Meeran Sad Laeen Je Toon,Faiz Ali Faiz
Noche De Paz,SUMO
For My People,EPMD
Que Suene Mi Campana,Sonora Carruseles
Marching,The Zebras
Respect This Hustle ,T.I.
Ring The Alarm,Naughty By Nature
You Don't Belong,Bad Religion
4 In The Morning,Gwen Stefani
Leaving The Docks,Zbigniew Preisner
1001 Robots,Marco Beltrami
Floating,Moist
Just Don't Give A Fuck,Eminem
The Urban Gospel,Shade Sheist / N.U.N.E. / King Arthur
Rumour ,bel canto
One More Time ,The Katinas
Coral Fang ,The Distillers
Rich Girl,Daryl Hall & John Oates
See What Tomorrow Brings,Arc Angels
He Don't Care ,Dan Hicks
Ela Edo Kardia Mou,Irini Merkouri
18 De Noviembre,Maracaibo 15
Laakista humppa,Elakelaiset
The Second One,Remy Shand
Take It For Granted,Atomic Rooster
The Same Man ,Rachel Loy
Nothing ,unloco
Power Shower,Caspa
Endless Winter,Earth
Ladies And Thugs,DJ Quik
Fucked,Less Than Jake
Zephyrus,Bloc Party
Let Me Be the One,Hank Locklin
Primal Forces,Megadrums
Wichita Lineman ,Young-Holt Unlimited
Me Duele,Joe Lopez
Accept Me,Harvey Averne
"Piano Sonata No. 29 in B flat major Op. 106  ""Hammerklavier"" : II.     Scherzo  - Presto",Solomon
Nothing To Hold Me,Jesus Jones
Rick's Cafe,Christie Hennessy
Palavras,Nana Caymmi
Coma,Aesop Rock
For All We Know,Glen Ricks
Blow-Up ,Tomorrow
Still a Fool,Groundhogs
Carre Cutia,Hélio Ziskind
I'll Be Around,Frank Ifield
Glow,King Swamp
Tercer Mundo,Fito Paez
Getting Old Sucks ,Bill Engvall
The Wedding,Brian Dullaghan
Keep Hope Alive,The Crystal Method
La Medalla,Los Chunguitos
Viralo Al Reves,Johnny Pacheco
Watched By An Angel,Bob Carlisle
Judge Harsh Blues ,Furry Lewis
"Theme From ""Come September"" ",Bobby Darin
I'm Glad,Jennifer Lopez
Chanson Populaire,Vincent Baguian
One Love,David Rose & His Orchestra
Carolyn & Barnabas,Dark Shadows
Ma vie n'est pas la tienne ,Najoua Belyzel
Singing  Bowls_Saxophone & Voice,Jane Winther
Famous One,Seventh Day Slumber
Min Xechnas ,Dakis
Best In LA,Marc Shaiman
The Sound From There,Norman Howard
La Bruja Chafa,Bobby Pulido
La Valse De La Cour ,Francis Lai
Splitting The Seconds,Nightswimmer
Goin' To The River,Alice Cooper
"Shout For Joy  ';""b""""Eden's Bridge""""",
Locked Away,The Gathering
Sing Me Softly of the Blues,Richard Galliano_ Jean-Charles Capon_ Gilles Perrin
Here We Go Again,H-Town
The Benevolent Path,Vulture Industries
Voyage to eternal Life,Astarte
Come On ,Ben Jelen
Tear It Up ,Michael McDonald
Forget Me Knots ,Roni Size
If I Couldn't Hold Back The Dawn,Carl Smith
Again ,Janet Jackson
Radioland,The Cate Brothers
Los Tres Glopes / The Three Beats ,Cachao
Anything For My Baby,Kiss
Tango,Charly Garcia
Lovely Day,Lit
Fields Of Athenry,The Shamrock Singers
Explode,The Cardigans
I See The Light ,Music Explosion
When It Stings,Pictures of Then
New Love,Ziggy Marley And The Melody Makers
Hindsight,Call To Preserve
Com Una Flama,Ai Ai Ai
I'm Your Money  ,Heaven 17
End Of The Beginning,30 Seconds To Mars
Black Connect 3,Camp Lo
Jubilation T. Cornpone,Shelly Manne
Life's Blood,Eighteen Visions
Lookin' for My Baby,Little Milton
Slow And Low,RUN-DMC
Lift Jesus Up,The Jackson Southernaires
The Harbour,Dario Marianelli
Dio Nisia,Giorgos Sabanis
The Way Of Love ,Charlie Peacock
L'idole des femmes,Pierre Perret
La Rosa,Bobby Pulido
All Or Nothing  ,Chris Eaton
Kicking And Screaming,Funeral For A Friend
Toda Mi Vida,Jay Pérez
Terraplane Blues,Scott Ainslie
Emerald,Bedrock
To Pouli,Angela Dimitriou
Sou Vazo Diskola,Natassa Theodoridou
Heartbreaker,Free
Goody Goody,Charlie Byrd Trio
Karma,Alicia Keys
Yo Quiero Contigo,Baby Rasta & Gringo
This Is A Stick Up,Ghetto Mafia
Vankina vapauden,Markus
Money Blues,Joanna Connor
100 Club 1996 ''We Love You Beatles'' - Live,Sex Pistols
Pete's Crusade,Light Of The World
Baby_ It's Gonna Cost You,Frenchy
deine liebe,[kaleidoskop]
Mohair Locker Room Pin-Up Boys,Adam Ant
Rakkahin -Be My Love-,Virtuoso
Enslaved By Propaganda,Total Fucking Destruction
Kaliforn-Eye-A ,P.o.d
Firestarter,The Prodigy
Testify,Phil Collins
Human Being ,New York Dolls
Rülpsen Sie Eine Hauptstadt,Tresenlesen
I Will Call Upon the Lord,Bill Murk
Doodlin',Kai Winding
Open Arms,Gary Go
Wouldn't Last a Weeg,The Weegs
Stampede,He Is Legend
Tune In,Cutting Edge
Hermitage,Pat Metheny
All Hands On Deck part 2: Open Water [Album Version],Funeral For A Friend
Untitled,Brainchoke
Stars ,Ultraviolence
Chira,Nikos Kalaintzis
The Magic Violin,Hot Club Of Cowtown
The Darkness ,Zombie Girl
Let The Drummer Have Some,fIREHOSE
Advice,Ann Nesby / Jamecia Bennett
Yo Soy Abacua,Bobby Valentin
Elsa,Monique Morelli
Lullaby [With Ladysmith Black Mambazo] ,Josh Groban
Army,Tunsi
Dangerously In Love Medley,Beyoncé
Magiki Vradia,Irini Merkouri
Little Sunflower,Alexander Zonjic
Walk On The Wild Side,Jesse Malin
Parallel Universe ,Red Hot Chili Peppers
Danny,Billie Jo Spears
The Court,Zbigniew Preisner
Speechless,Mish Mash
Lost,Roger Sanchez
Nieve,Los Chichos
Listen,FFH
Merry-Go-Round,Helen Hobson
Dos Mujeres,Alfredo Gutiérrez
When I Think About Love,Guy Forsyth
Momentum,Elvira
6th Chakra: Keynote A - Chakra Suite ,Steven Halpern
Sincerely_,Hard Romantic
So Far So Bad So What?,Melt Banana
Up on the House Top,The Jordanaires & Orion
Hydraulic Pimp,Non Stop DJs
Fifi,Angels
Je Suis Une Cigarette,M
Upon This Rock ,STEVE CAMP
Little Is Much When God Is In It ,Gaither Vocal Band
My Harlem Lullaby ,Mase
Shining,Swans Of Avon
Life's Railway To Heaven,PATSY CLINE & WILLIE NELSON
Gheera Away,Ragheb Alama
Hello Space Boy,Behemoth
I Wish I Was A Punk Rocker ,Sandi Thom
Booty Bounce,Mister Ries featuring Six Foe
Earth Born,Kitaro
Dance of the Blue Devils,Les Brown
Come On Back Home,Cece Winans
Sannyasin,John Mayer
E. Warren,DJ Omega
Talk Of The Town,Firehouse
Siempre,Reptil
Denk,Samy Deluxe
You Can Make It ,Douglas Miller
Attic Room,Casiotone For The Painfully Alone
Electric Phase / Hot 'n' Ready / Pack It Up 'n' Go / Cherry / Out In The Street / Let It Roll / Too Hot To Handle,UFO
Sometimes,Les Rythmes Digitales feat. Nik Kershaw
124 Stomp,Azukx
The Story Of An Artist,Daniel Johnston
Many Weapons Many Men,Criminal Class USA is Hush Hush Revolution
So Say I,Mr Brown
One Thing,YZ
Big Trouble Upstairs,Pitch Black
Te Vas Angel Mio,Michael Salgado
A Movie Of A Placid Lake On A Moonless Night in September,Will Ackerman
Será cuando regreses,Noemí
It Only Takes A Moment ,Eddie Cano
Molten,Digital Mystikz
Love You to Pieces,Lizzy Borden
Take That!,Richard Smith
Zeno Beach,Radio Birdman
Phrase,Papa Wemba
From A Jack To A King,Ned Miller
Meteores mouvement de Chroniques de la lumier,Francis Dhomont
The Road Goes On Forever,The Highwaymen
The Daddy,Mario Rosenstock
Don't Waste My Time,John Mayall
Medicine,Bobaflex
Telegrama,Zeca Baleiro
Sachmagehtsnoch,Dendemann
Te Necesito,Angelica Maria
Love Me,Jars Of Clay
Diamond Eyes ,Deftones
Les Dépenaillés,Klimperei
The Witching Hour,John Mayall
Underarms,Grandmaster Flash
Heut' Nacht,Spliff
Put Down Your Weapons,Yami Bolo
L'Amour Existe Encore,Lara Fabian
Leather Prowler,Liars
Una dolce melodia,Franco_ Valeriana
This Is My Life,Rita Chiarelli
War,Trick Trick / Obie Trice
Hi De Ho,Bobby Darin
La Maquina Del Sabor,Fruko Y Sus Tesos
Fast Eddie,Mario Rosenstock
Playgirl's Love,The Five Stairsteps
Hold On To Freedom,Lee Michaels
A Void Of Lifeless Dreams,Limbonic Art
I Will Bless Your Name,Daryl Coley Featuring the New Generation Singers Reunion Choir
Endless Light,Erik Berglund
All Creatures Of Our God And King,Patty Griffin
Sofrimento De Quem Ama ,Clara Nunes
Make A Move On Me,Joey Negro
Chiove,Rita Chiarelli
Doin' It,Professor Longhair
Rude Bwoy Love ,Nicky B_ Naëlle
Bitches For Breakfast,Vodka Collins
It Came Upon A Midnight Clear,Cristy Lane
Apagon,Estopa
All For The Sake Of The Song,Roger Creager
Red Barchetta ,Steve Morse
Looking In Your Eyes,Suicidal Tendencies
Crazy,Aerosmith
Down South Blues,Sleepy John Estes
Des Vôtres,Fredericks_ Goldman_ Jones
The Law Gonna Step On You ,Bo Carter
Cet Air Étrange ,Étienne Daho
Believe In What I Say,Cookies
Glisse,Fred Merpol
Psalm 27,Wilks
Mykel And Carli,Weezer
You Gotta Be Safe,Twenty 4 Seven
Kan Hai De Ri Zi,Hacken Lee
"Young Urbans';""b""""Punk'd Royal""""",
Rancho Moreno,Mar Azul
When Rules Change,Life In Your Way
Milkman_ Keep Those Bottles Quiet,The King Sisters
Take The Time,Michael Stanley Band
Together We Stand ,The Winans
"I Don't Like You"";""b'Buzzov¬""""en'",
Hold On,22-20s
She's Got A Brain ,Cutting Edge
"Talking To Trees';""b""""The Cat's Miaow""""",
Morning Bird,Sade
Feelin` Alone,2-Gether feat. Sarinah
Janie's Got A Gun,Aerosmith
30 Grad,Pyranja
Sample Track 14,Simon Harris
Don't Be Afraid ,Sharon Burch
Minner,Mons Leidvin Takle
Final Straw ,R.E.M.
Bliv Du Till Gran ,Groupa
Outubro,Irtio
You've Got A Friend,Kathy Troccoli
Half As Much,Gene Autry
Enchanted Garden,Paul Taylor
Lawyer Clark Blues,Sleepy John Estes
If Today Was Your Last Day ,Nickelback
Jesus Is Gonna Make Up My Dying Bed,Josh White
Damn those eyes,Kane
Oops!...I Did It Again,Britney Spears
Skin Ticket  ,Slipknot
Red ,Motograter
Waltzing Matilda My Darling,Maria Forde
Crushing Belial,Shadows Fall
Cry_ Cry_ Cry,Hushabye Baby
God Of Love ,Bad Brains
Better Days,Colin James
Laser Show ,Fountains Of Wayne
Ni Shi Wo Xin Zhong Yi Ju Jing Tan,Elva Hsiao
Silver Bells,John Davis
Apologize,DJ Nasty
Nude With Boots,Melvins
Here The Sun Never Shines,The Funeral Pyre
Restless Spirits ,R. Carlos Nakai
Les Tous Petits Details,Julien Clerc
I Wanna Sing ,Scott Krippayne
Manzenera,Adam Ant
La Blonde de Pékin,Annie Philippe
Ett Norrskensdåd,Finntroll
Cunoasterea Tacuta,Negura Bunget
Nobody But Me - Original,Dee Clark
Lost In Translation,Pitch Black
Hard Not 2 Kill ,Fat Joe
Downtown ,Crazy Horse
Dinosaur Bones,Showbread
We Made It [Instrumental],Busta Rhymes feat. Linkin Park
Desire,Rockabye Baby!
Clear Channels,Roj
Cintura Fina,Alceu Valença
Cadê O Meu Amor,Quinteto Violado
New Meaning,Mudhoney
Tis Monaxias Ta Monopatia,Peggy Zina
"Ocean Size [Demo]';""b""""Jane's Addiction""""",
Misty Bog,Winifred Phillips
Hang 'm High,Ned Nash Orchestra
Turkey And Dressin,Casual
Ciudad desierta,Alex Ubago
Somebody Has Stolen My Girl,Cornel Campbell
Ho Capito Che Ti Amo,Brazilian Tropical Orchestra
See The Light,The Jeff Healey Band
Hold Up My Heart,Brooke White
A Sailboat In The Moonlight,Arthur Tracy
Eoarchaean,The Ocean
Directions to my special place,themselves
Situations,Bravehearts featuring Nas and Jully Black
I Do ,Tina Ann
Mesmerized,Miguel Migs
Between You And Me,Joy Enriquez
Adios_ Amigos! ,J. Karjalainen & Mustat Lasit
Angel,Julio Iglesias Jr
10000 Km,La Portuaria
Ongoing Plague,Malefaction
The Christmas Song  ,Nicole Mullen
Phillippe,James Newton Howard
Comfortubly Numb,Big One
Sad Girl ,The Stems
La Chola Caderona,Sonora Carruseles
Why Baby Why,Hank Locklin
Gracieusette,Gus Viseur
Peace Dance,Terry Riley
Trio in G minor for piano_ violin_ and 'cello Op. 17: Andante,Double Image
Please Jesus_ Send Me Someone To Fuck,All Leather
Flute,Les Ogres De Barback
North American Ballads: No. 2 - Which Side Are You On?,David Jalbert
The New Girl,Javier Navarrete
All I Really Want,Premiums
Big Girl Blues,Danny Barnes
Hot Wire [Live Version],Kix
Ain't Gone 'N' Give Up On Love,Stevie Ray Vaughan And Double Trouble
Tracy,Goldfish
Savin' Me,Nickelback
I Get My Paper,Cassidy featuring Swizz Beatz
Turn It Around,Tony Matterhorn
"I'm A Chicken Head "";""b""""Cam'Ron""""",
How Y' All Doin',Kyle Eastwood
Pipopapo Telpathy,An Cafe
Rules of Attraction ,Tina Ann
Knucklebuster,Chet Atkins
Go On,JK
Crackbabies,Urge Overkill
Fear of Girls ,U.K. Subs
Once,Harry Connick_ Jr.
Roll Old Jeremiah,The Black Crowes
"Secret Lovers ';""b""""Alexander O'Neal""""",
Proletariat,Tree
Love_ Peace and Harmony,Bow Wow Wow
Suti-suti,M.A. Numminen
Woman,Free
Anatomy of a Contest,John Frizzell
Hop_ Skip & Jump,Opals
Bring It On,Goose
Problems,Mil featuring Petey Pablo
Yueh Kuang,Shunza
Gum,Emit
Con un poquitito de suerte,Leo Dan
"Shirley';""b""""Lil' Band O' Gold""""",
Little Bird,Annie Lennox
Karola,Remmy Ongala
House Of Pain,Van Halen
The Child Deirdre,Mychael Danna & Jeff Danna
Sense,Beherit
Slut [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],Big Star
Locaccmaccam,Marc Perrone
Harmony Of The Forest,Kitaro
Jiggle Once And Wait ,Dan Cummins
I'm On Your Tail,Paul Carrack
Still,Jennifer Lopez
You'll Never Find,The Impressions
Ask The Angels,The Distillers
All Time Low ,Grey Area
It Took A Good Woman [Edited Demo],Tiny Tim
Hundre År Gammal,Khold
Vacation Rain ,Sister Hazel
Byal ravnec,Lot Lorien
2 Late 4 Goodbyes,Jeff Scott Soto
Too Many Choices,Bad Azz
Stick Out,Melt Banana
Guantanamera,Wyclef Jean
Polly's Dress,Hem
We Bite,The Misfits
Ballad Of The Boll Weevil  ,Mance Lipscomb
What'Cha Gonna Do About It,Small Faces
Objection ,Shakira
"Spelling Beatnuts with Lil' Donny"";""b""""Beatnuts with Lil' Donny""""",
Doomed To Walk The Earth,Swallow The Sun
"Tha Day';""b""""K's Choice""""",
These Days,Hushabye Baby
Polyester,Maximilian Hecker
The Dark Road,White Willow
Breaking In,Alexandre Desplat
Nothing's The Same ,Gary Moore
Side Steppin',Paul Brown
Facedown,Matt Redman
